Category, Annotator 1, Annotator 2, SegSim, BoundSim
<CHARACTER_0>, CB, MM, N/A, N/A
<FOC_UNR>, CB, MM, N/A, N/A
<NARRATOR_0>, CB, MM, N/A, N/A
<VOICE_3>, CB, MM, N/A, N/A
CHARACTER_0, CB, MM, N/A, N/A
FOC_UNR, CB, MM, N/A, N/A
NARRATOR_0, CB, MM, N/A, N/A
NC, CB, MM, N/A, N/A
TURN, CB, MM, 0.9996865400288383173468748041, 0.7368421052631578947368421053
VOICE_3, CB, MM, N/A, N/A
