Category, Annotator 1, Annotator 2, SegSim, BoundSim
change_narratee, FP, MS, N/A, N/A
level_change, FP, MS, N/A, N/A
narrative_level number="1", FP, MS, N/A, N/A
narrative_level number="1" words=104, FP, MS, N/A, N/A
narrative_level number="2", FP, MS, N/A, N/A
narrative_level number="2" words=376, FP, MS, N/A, N/A
narrative_level number="3", FP, MS, N/A, N/A
narrative_level number="3" words=2196, FP, MS, N/A, N/A
narrative_level number="4", FP, MS, N/A, N/A
narrative_level number="4" words=1086, FP, MS, N/A, N/A
narrative_level number=” 3” , FP, MS, N/A, N/A
narrative_level number=”3” words=3765, FP, MS, N/A, N/A
narrative_levelchange completion="complete", FP, MS, N/A, N/A
narrative_levelchange completion="never closed", FP, MS, N/A, N/A
narrative_levelchange completion="never opened", FP, MS, N/A, N/A
narrative_levelchange completion=” complete” , FP, MS, N/A, N/A
narrator participation="autodiegetic", FP, MS, N/A, N/A
narrator participation="heterodiegetic", FP, MS, N/A, N/A
narrator participation="homodiegetic", FP, MS, N/A, N/A
narrator participation=”heterodiegetic”, FP, MS, N/A, N/A
narrator_change, FP, MS, N/A, N/A
reality_change, FP, MS, N/A, N/A
