Category, Annotator 1, Annotator 2, SegSim, BoundSim
l1n1, JH, YH, 0.9993624191638582748884233537, 0.5882352941176470588235294118
l1n2, JH, YH, N/A, N/A
l2n1, JH, YH, N/A, N/A
