Category, Annotator 1, Annotator 2, SegSim, BoundSim
Dream, AJ, AS, N/A, N/A
Embedded Dream/(psychotic scene), AJ, AS, N/A, N/A
Embedded Narrative, AJ, AS, N/A, N/A
Frame Narrative, AJ, AS, N/A, N/A
Original, AJ, AS, N/A, N/A
embedded, AJ, AS, N/A, N/A
